Solvent	Base	ligands-SMILES	ligands-IUPAC	additives	Catalyst
		CC(/C(C)=N\C1=C(F)C=C(Br)C=C1F)=N/C2=C(F)C=C(Br)C=C2F	"(2Z,3Z)-N2,N3-bis(4-bromo-2,6-difluorophenyl)butane-2,3-diimine"		
		CC(/C(C)=N\C1=CC=CC=C1C(C)(C)C)=N/C2=C(C(C)(C)C)C=CC=C2	"(2Z,3Z)-N2,N3-bis(2-(tert-butyl)phenyl)butane-2,3-diimine"		
		CC(/C(C)=N\C1=CC(C)=CC(C)=C1)=N/C2=CC(C)=CC(C)=C2	"(2Z,3Z)-N2,N3-bis(3,5-dimethylphenyl)butane-2,3-diimine"		
		CC(/C(C)=N\C1=CC=C(C=CC=C2)C2=C1)=N/C3=CC4=C(C=CC=C4)C=C3	"(2Z,3Z)-N2,N3-di(naphthalen-2-yl)butane-2,3-diimine"		
		CC(/C(C)=N\C1=C(C(C)C)C=CC=C1C(C)C)=N/C2=C(C(C)C)C=CC=C2C(C)C	"(2Z,3Z)-N2,N3-bis(2,6-diisopropylphenyl)butane-2,3-diimine"		
		CC(/C(C)=N\C1CCCCC1)=N/C2CCCCC2	"(2Z,3Z)-N2,N3-dicyclohexylbutane-2,3-diimine"		
		CC(C)C1=CC=CC(C(C)C)=C1/N=C2/C(CCCC2)=N/C3=C(C(C)C)C=CC=C3C(C)C	"(1E,2E)-N1,N2-bis(2,6-diisopropylphenyl)cyclohexane-1,2-diimine"		
		CC(/C(C)=N\C1=C(C(C)C)C=CC=C1C(C)C)=N/C2=C(C(C)C)C=CC=C2C(C)C	"(2Z,3Z)-N2,N3-bis(2,6-diisopropylphenyl)butane-2,3-diimine"		
		CC(C[C@H]1COC(C2=N[C@@H](CC(C)C)CO2)=N1)C	"(4S,4'S)-4,4'-diisobutyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		CC(C1=N[C@H](C(C)(C)C)CO1)(C)C2=N[C@@H](C(C)(C)C)CO2	"(S)-4-(tert-butyl)-2-(2-((R)-4-(tert-butyl)-4,5-dihydrooxazol-2-yl)propan-2-yl)-4,5-dihydrooxazole"		
		CC(C1COC(C2=N[C@@H](C(C)C)CO2)=N1)C	"(4S)-4,4'-diisopropyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		[C@H]1(C2CCCCC2)COC(C3=N[C@@H](C4CCCCC4)CO3)=N1	"(4S,4'S)-4,4'-dicyclohexyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		CC([C@H]1COC(C2=N[C@@H](C(C)(C)C)CO2)=N1)(C)C	"(4S,4'S)-4,4'-di-tert-butyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		[C@H]1(C2=CC=CC=C2)COC(C3=N[C@@H](C4=CC=CC=C4)CO3)=N1	"(4S,4'S)-4,4'-diphenyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		[C@@H]1(C2=CC=CC=C2)COC(C3=N[C@H](C4=CC=CC=C4)CO3)=N1	"(4R,4'R)-4,4'-diphenyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		CC(C1=N[C@@H](C(C)C)CO1)(C)C2=N[C@@H](C(C)C)CO2	"(4S,4'S)-2,2'-(propane-2,2-diyl)bis(4-isopropyl-4,5-dihydrooxazole)"		
		C1(C2=NCCO2)=NCCO1	"4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		[C@H]1(CC2=CC=CC=C2)COC(C3=N[C@@H](CC4=CC=CC=C4)CO3)=N1	"(4S,4'S)-4,4'-dibenzyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		CC(C1=N[C@@H](CC2=CC=CC=C2)CO1)(C)C3=N[C@@H](CC4=CC=CC=C4)CO3	"(4S,4'S)-2,2'-(propane-2,2-diyl)bis(4-benzyl-4,5-dihydrooxazole)"		
		CC(C1=N[C@H](C2=CC=CC=C2)CO1)(C)C3=N[C@H](C4=CC=CC=C4)CO3	"(4R,4'R)-2,2'-(propane-2,2-diyl)bis(4-phenyl-4,5-dihydrooxazole)"		
		CC(C1=N[C@@H](C2=CC=CC=C2)CO1)(C)C3=N[C@@H](C4=CC=CC=C4)CO3	"(4S,4'S)-2,2'-(propane-2,2-diyl)bis(4-phenyl-4,5-dihydrooxazole)"		
		CC(C1=N[C@H](CC(C)C)CO1)(C)C2=N[C@H](CC(C)C)CO2	"(4R,4'R)-2,2'-(propane-2,2-diyl)bis(4-isobutyl-4,5-dihydrooxazole)"		
		CC(C)C[C@H]1COC(C2=CC=CC(C3=N[C@@H](CC(C)C)CO3)=N2)=N1	"2,6-bis((S)-4-isobutyl-4,5-dihydrooxazol-2-yl)pyridine"		
		CC(C)(C)[C@H]1COC(C2=CC=CC(C3=N[C@@H](C(C)(C)C)CO3)=N2)=N1	"2,6-bis((S)-4-(tert-butyl)-4,5-dihydrooxazol-2-yl)pyridine"		
		CC1(C)N=C(C2=NC(C3=NC(C)(C)CO3)=CC=C2)OC1	"2,6-bis(4,4-dimethyl-4,5-dihydrooxazol-2-yl)pyridine"		
		[C@H]1(C2=CC=CC=C2)COC(C3=CC=CC(C4=N[C@@H](C5=CC=CC=C5)CO4)=N3)=N1	"2,6-bis((S)-4-phenyl-4,5-dihydrooxazol-2-yl)pyridine"		
		[C@@H]1(C2=CC=CC=C2)COC(C3=CC=CC(C4=N[C@H](C5=CC=CC=C5)CO4)=N3)=N1	"2,6-bis((R)-4-phenyl-4,5-dihydrooxazol-2-yl)pyridine"		
		C1(C2=CC=CC(C3=NCCO3)=N2)=NCCO1	"2,6-bis(4,5-dihydrooxazol-2-yl)pyridine"		
		CC(C)C[C@H]1COC(C2=CC=CC(C3=N[C@@H](CC(C)C)CO3)=N2)=N1	"2,6-bis((S)-4-isobutyl-4,5-dihydrooxazol-2-yl)pyridine"		
		[C@@H]1(C2=CC=CC=C2)COC(C3=N[C@@H](C4=CC=CC=C4)CO3)=N1	"(4R,4'S)-4,4'-diphenyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		CC(C)C[C@@H]1COC(C2=N[C@H](CC(C)C)CO2)=N1	"(4R,4'R)-4,4'-diisobutyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		CC(C1=NC(C(C)(C)C)CO1)(C)C2=NC(C(C)(C)C)CO2	"2,2'-(propane-2,2-diyl)bis(4-(tert-butyl)-4,5-dihydrooxazole)"		
		C1(C2=CC=CC=C2)=CC=CC(C3=NC=CC=C3)=N1	"6-phenyl-2,2'-bipyridine"		
		COC1=CC(C2=NC(C3=CC=CC=C3)=CC(OC)=C2)=NC(C4=CC=CC=C4)=C1	"4,4'-dimethoxy-6,6'-diphenyl-2,2'-bipyridine"		
		C1(C=CC=C2)=C2N=C(C3=NC(C=CC=C4)=C4C=C3)C=C1	"2,2'-biquinoline"		
		CC1=CC(C(C)(C)C)=CC(C2=NC(C)=CC(C(C)(C)C)=C2)=N1	"4,4'-di-tert-butyl-6,6'-dimethyl-2,2'-bipyridine"		
		C1(C2=CC=CC=C2)=CC=CC(C3=NC(C4=CC=CC=C4)=CC=C3)=N1	"6,6'-diphenyl-2,2'-bipyridine"		
		CC(C)(C)C1=CC(C2=NC=CC(C(C)(C)C)=C2)=NC=C1	"4,4'-di-tert-butyl-2,2'-bipyridine"		
		COC1=CC(C2=NC(C3=CC=CC=C3)=CC(OC)=C2)=NC=C1	"4,4'-dimethoxy-6-phenyl-2,2'-bipyridine"		
		C1(C2=NC=CC=C2)=NC=CC=C1	"2,2'-bipyridine"		
		CC1=CC=CC(C2=NC=CC=C2)=N1	"6-methyl-2,2'-bipyridine"		
		CC1=CC(C(C)(C)C)=CC(C2=NC=CC(C(C)(C)C)=C2)=N1	"4,4'-di-tert-butyl-6-methyl-2,2'-bipyridine"		
		CC(C)(C)C1=CC(C2=NC=CC(C(C)(C)C)=C2)=NC=C1	"4,4'-di-tert-butyl-2,2'-bipyridine"		
		O=C(C)C1=CC(C2=NC=CC(C(C)=O)=C2)=NC=C1	"1,1'-([2,2'-bipyridine]-4,4'-diyl)bis(ethan-1-one)"		
		COC1=CC(C2=NC=CC(OC)=C2)=NC(CCCC)=C1	"6-butyl-4,4'-dimethoxy-2,2'-bipyridine"		
		CC1=CC=CC(C2=NC(C)=CC=C2)=N1	"6,6'-dimethyl-2,2'-bipyridine"		
		OCC1=CC=CC(C2=NC(CO)=CC=C2)=N1	"[2,2'-bipyridine]-6,6'-diyldimethanol"		
		COC1=CC(C2=NC(C(C)(C)C)=CC(OC)=C2)=NC=C1	"6-(tert-butyl)-4,4'-dimethoxy-2,2'-bipyridine"		
		CC1=CN=C(C2=NC=C(C)C=C2)C=C1	"5,5'-dimethyl-2,2'-bipyridine"		
		O=C(OC)C1=CC=CC(C2=NC(C(OC)=O)=CC=C2)=N1	"dimethyl [2,2'-bipyridine]-6,6'-dicarboxylate"		
		CC1=CC(OC)=CC(C2=NC=CC(OC)=C2)=N1	"4,4'-dimethoxy-6-methyl-2,2'-bipyridine"		
		COC1=CC(C2=NC=CC(OC)=C2)=NC=C1	"4,4'-dimethoxy-2,2'-bipyridine"		
		O=C(O)C1=CC=CC(C2=NC(C(O)=O)=CC=C2)=N1	"[2,2'-bipyridine]-6,6'-dicarboxylic acid"		
		COC1=CC(C2=NC(C3=CC=CC=C3)=CC(OC)=C2)=NC(C4=CC=CC=C4)=C1	"4,4'-dimethoxy-6,6'-diphenyl-2,2'-bipyridine"		
		CC1=CC(C2=NC=CC(C)=C2)=NC=C1	"4,4'-dimethyl-2,2'-bipyridine"		
		CC1=CC=CC(C2=NC(C)=CC=C2)=N1	"6,6'-dimethyl-2,2'-bipyridine"		
		FC(C1=CC=CC(C2=NC(C(F)(F)F)=CC=C2)=N1)(F)F	"6,6'-bis(trifluoromethyl)-2,2'-bipyridine"		
		CC(C1=CC(C2=NC(C(C)(C)C)=CC(C(C)(C)C)=C2)=NC(C(C)(C)C)=C1)(C)C	"4,4',6,6'-tetra-tert-butyl-2,2'-bipyridine"		
		CC(C1=CC(C2=NC=CC(C(C)(C)C)=C2)=NC(CCCC)=C1)(C)C	"4,4'-di-tert-butyl-6-butyl-2,2'-bipyridine"		
		FC(C=C1)=CC=C1C2=CC(C3=CC=CC(C)=N3)=NC(C4=NC(C)=CC=C4)=C2	"4'-(4-fluorophenyl)-6,6''-dimethyl-2,2':6',2''-terpyridine"		
		C1(C2=NC(C3=NC=CC=C3)=CC(C4=CC=CC=C4)=C2)=CC=CC=N1	"4'-phenyl-2,2':6',2''-terpyridine"		
		C1(C2=CC=CC=C2)=NC(C3=NC(C4=NC(C5=CC=CC=C5)=CC=C4)=CC(C6=CC=C(C7=CC=CC=C7)C=C6)=C3)=CC=C1	"4'-([1,1'-biphenyl]-4-yl)-6,6''-diphenyl-2,2':6',2''-terpyridine"		
		CC1=CC=CC(C2=CC(C3=CC=C(OC)C=C3)=CC(C4=CC=CC(C)=N4)=N2)=N1	"4'-(4-methoxyphenyl)-6,6''-dimethyl-2,2':6',2''-terpyridine"		
		CC1=CC=CC(C2=CC(C3=CC=CC=C3)=CC(C4=CC=CC(C)=N4)=N2)=N1	"6,6''-dimethyl-4'-phenyl-2,2':6',2''-terpyridine"		
		C/C(C1=NC(C)=CC=C1)=N\C2=C(C(C)C)C=CC=C2C(C)C	"(E)-N-(2,6-diisopropylphenyl)-1-(6-methylpyridin-2-yl)ethan-1-imine"		
		C/C(C1=NC(C)=CC=C1)=N\C2=C(C)C=C(C)C=C2C	(E)-N-mesityl-1-(6-methylpyridin-2-yl)ethan-1-imine		
		C/C(C1=NC=CC=C1)=N\C2=C(C(C)C)C=CC=C2C(C)C	"(E)-N-(2,6-diisopropylphenyl)-1-(pyridin-2-yl)ethan-1-imine"		
		C/C(C1=NC(Br)=CC=C1)=N\C2=C(C(C)C)C=CC=C2C(C)C	"(E)-1-(6-bromopyridin-2-yl)-N-(2,6-diisopropylphenyl)ethan-1-imine"		
		NC(C1=NC(C(N)=NC#N)=CC=C1)=NC#N	"(2Z,6Z)-N'2,N'6-dicyanopyridine-2,6-bis(carboximidamide)"		
		CC(C1=NC(C(C)=NC2=CC=C(C(C)(C)C)C=C2)=CC=C1)=NC3=CC=C(C(C)(C)C)C=C3	"(1E,1'E)-1,1'-(pyridine-2,6-diyl)bis(N-(4-(tert-butyl)phenyl)ethan-1-imine)"		
		CC(C1=NC(C(C)=NC2=C(C)C=CC=C2C)=CC=C1)=NC3=C(C)C=CC=C3C	"(1E,1'E)-1,1'-(pyridine-2,6-diyl)bis(N-(2,6-dimethylphenyl)ethan-1-imine)"		
		CC(C1=NC(C(C)=NC2=C(C(C)(C)C)C=CC=C2)=CC=C1)=NC3=CC=CC=C3C(C)(C)C	"(1E,1'E)-1,1'-(pyridine-2,6-diyl)bis(N-(2-(tert-butyl)phenyl)ethan-1-imine)"		
		CC(C1=NC(C(C)=NC2=C(C)C=C(C)C=C2C)=CC=C1)=NC3=C(C)C=C(C)C=C3C	"(1E,1'E)-1,1'-(pyridine-2,6-diyl)bis(N-mesitylethan-1-imine)"		
		CC(C1=NC(C(C)=NC2=C(C)C=C(C)C=C2C)=CC=C1)=NC3=C(C)C=C(C)C=C3C	"(1E,1'E)-1,1'-(pyridine-2,6-diyl)bis(N-mesitylethan-1-imine)"		
		CC(C1=NC(C(C)=NC2=CC=CC3=C2C=CC=C3)=CC=C1)=NC4=C(C=CC=C5)C5=CC=C4	"(1E,1'E)-1,1'-(pyridine-2,6-diyl)bis(N-(naphthalen-1-yl)ethan-1-imine)"		
		CC(C1=NC(C(C)=NC2=C(C)C=CC=C2Cl)=CC=C1)=NC3=C(C)C=CC=C3Cl	"(1E,1'E)-1,1'-(pyridine-2,6-diyl)bis(N-(2-chloro-6-methylphenyl)ethan-1-imine)"		
		CC(C1=NC(C(C)=NC2=CC=C(C=CC=C3)C3=C2)=CC=C1)=NC4=CC=C5C(C=CC=C5)=C4	"(1E,1'E)-1,1'-(pyridine-2,6-diyl)bis(N-(naphthalen-2-yl)ethan-1-imine)"		
		CC(C1=NC(C(C)=NC2=C(C(C)C)C=CC=C2C(C)C)=CC=C1)=NC3=C(C(C)C)C=CC=C3C(C)C	"(1E,1'E)-1,1'-(pyridine-2,6-diyl)bis(N-(2,6-diisopropylphenyl)ethan-1-imine)"		
		CC(C1=NC(C(C)=NC2=CC=CC=C2)=CC=C1)=NC3=CC=CC=C3	"(1E,1'E)-1,1'-(pyridine-2,6-diyl)bis(N-phenylethan-1-imine)"		
		CC(C1=NC(C(C)=NC2=C(C)C=C(C)C=C2C)=CC=C1)=NC3=C(C)C=C(C)C=C3C	"(1E,1'E)-1,1'-(pyridine-2,6-diyl)bis(N-mesitylethan-1-imine)"		
		CC(C1=NC(C(C)=NC2=C(F)C(F)=C(F)C(F)=C2F)=CC=C1)=NC3=C(F)C(F)=C(F)C(F)=C3F	"(1E,1'E)-1,1'-(pyridine-2,6-diyl)bis(N-(perfluorophenyl)ethan-1-imine)"		
		CC(C)[C@@H](CO1)N=C1C2=CC=C(C(F)(F)F)C=N2	"(S)-4-isopropyl-2-(5-(trifluoromethyl)pyridin-2-yl)-4,5-dihydrooxazole"		
		CC(C)[C@@H](CO1)N=C1C2=CC=CC(CC3=CC=CC=C3)=N2	"(S)-2-(6-benzylpyridin-2-yl)-4-isopropyl-4,5-dihydrooxazole"		
		CC(C)(C)C(CO1)N=C1C2=CC=C(CCCC3)C3=N2	"4-(tert-butyl)-2-(5,6,7,8-tetrahydroquinolin-2-yl)-4,5-dihydrooxazole"		
		O=C(NC1=C(C(C)(C)C)C=CC=C1)C(NC2=CC=CC=C2C(C)(C)C)=O	"N1,N2-bis(2-(tert-butyl)phenyl)oxalamide"		
		O=C(NC1=C(C(C)C)C=CC=C1C(C)C)C(NC2=C(C(C)C)C=CC=C2C(C)C)=O	"N1,N2-bis(2,6-diisopropylphenyl)oxalamide"		
		O=C(NC1=C(C(C)C)C=CC=C1C(C)C)C(NC2=C(C(C)C)C=CC=C2C(C)C)=O	"N1,N2-bis(2,6-diisopropylphenyl)oxalamide"		
		O=C(NC1=C(C)C=C(C)C=C1C)C(NC2=C(C)C=C(C)C=C2C)=O	"N1,N2-dimesityloxalamide"		
		O=C(NC1=C(C(C)C)C=CC=C1C(C)C)C2CCCCN2	"N-(2,6-diisopropylphenyl)piperidine-2-carboxamide"		
		O=C(N[C@@H](COC(C1=CC=CC=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3	(R)-2-benzamido-2-phenylethyl benzoate		
		O=C(N[C@@H](CO)C1=CC=CC=C1)C2=CC=CC=C2	(R)-N-(2-hydroxy-1-phenylethyl)benzamide		
		O=C(N[C@H]([C@H](C1=CC=CC=C1)O)C2=CC=CC=C2)C3=NC=CC=C3	"N-((1S,2S)-2-hydroxy-1,2-diphenylethyl)picolinamide"		
		O=C(N[C@@H](CO)C(C)(C)C)C1=NC=CC=C1	"(R)-N-(1-hydroxy-3,3-dimethylbutan-2-yl)picolinamide"		
		O=C(NC1C(O)CC2=C1C=CC=C2)C3=NC=CC=C3	"N-(2-hydroxy-2,3-dihydro-1H-inden-1-yl)picolinamide"		
		O=C(NC(CO)C)C1=NC=CC=C1	N-(1-hydroxypropan-2-yl)picolinamide		
		O=C(N[C@@H](CO)C1=CC=CC=C1)C2=NC(CCC3)=C3C=C2	"(R)-N-(2-hydroxy-1-phenylethyl)-6,7-dihydro-5H-cyclopenta[b]pyridine-2-carboxamide"		
		O=C(N[C@H](CC1=CC=CC=C1)CO)C2=NC=CC=C2	(R)-N-(1-hydroxy-3-phenylpropan-2-yl)picolinamide		
		O=C(NCCO)C1=NC(C)=CC=C1	N-(2-hydroxyethyl)-6-methylpicolinamide		
		O=C(NCCO)C1=NC(C)=CC=C1	N-(2-hydroxyethyl)-6-methylpicolinamide		
		O=C(N[C@@H](CO)C1=CC=CC=C1)C2=NC=CC(OC)=C2	(R)-N-(2-hydroxy-1-phenylethyl)-4-methoxypicolinamide		
		O=C(NC(CO)C(C)(C)C)C1=NC2=C(CCCC2)C=C1	"N-(1-hydroxy-3,3-dimethylbutan-2-yl)-5,6,7,8-tetrahydroquinoline-2-carboxamide"		
		O=C(NC(CC(C)C)CO)C1=NC=CC=C1	N-(1-hydroxy-4-methylpentan-2-yl)picolinamide		
		O=C(NCC1=CC=CC=C1)C2=NC(C)=CC=C2	N-benzyl-6-methylpicolinamide		
		O=C(N[C@H](C1=CC=CC=C1)CO)C2=NC3=C(CCCC3)C=C2	"(R)-N-(2-hydroxy-1-phenylethyl)-5,6,7,8-tetrahydroquinoline-2-carboxamide"		
		O=C(C[C@@H](CO)C(C)(C)C)C1=NC2=C(CCC2)C=C1	"(R)-1-(6,7-dihydro-5H-cyclopenta[b]pyridin-2-yl)-3-(hydroxymethyl)-4,4-dimethylpentan-1-one"		
		O=C(N[C@H](C1=CC=CC=C1)CO)C2=NC(C)=CC=C2	(R)-N-(2-hydroxy-1-phenylethyl)-6-methylpicolinamide		
		O=C(NC(C(C)(C)C)CO)C1=NC=CC(OC)=C1	"N-(1-hydroxy-3,3-dimethylbutan-2-yl)-4-methoxypicolinamide"		
		O=C(NC(C1=CC=CC=C1)CO)C2=NC=CC=C2	N-(2-hydroxy-1-phenylethyl)picolinamide		
		O=C(N[C@@H]1[C@@H](NC(C2=CC=CC=N2)=O)CCCC1)C3=NC=CC=C3	"N,N'-((1S,2S)-cyclohexane-1,2-diyl)dipicolinamide"		
		O=C(NCC1=CC=CC=C1)C2=NC=CC=C2	N-benzylpicolinamide		
		O=C(N[C@H](C1=CC=CC=C1)CO)C2=NC=CC=C2	(R)-N-(2-hydroxy-1-phenylethyl)picolinamide		
		O=C(NC(C)C1=CC=CC=C1)C2=NC=CC=C2	N-(1-phenylethyl)picolinamide		
		O=C(N[C@H](C1=CC=CC=C1)CO)C2=NC=CC=C2C	(R)-N-(2-hydroxy-1-phenylethyl)-3-methylpicolinamide		
		O=C(N[C@H](C1=CC=CC=C1)[C@H](C2=CC=CC=C2)O)C3=NC=CC=C3	"N-((1R,2S)-2-hydroxy-1,2-diphenylethyl)picolinamide"		
		O=C(NC(CCO)C1=CC=CC=C1)C2=NC=CC=C2	N-(3-hydroxy-1-phenylpropyl)picolinamide		
		O=C(N[C@H](C1=CC=CC=C1)CO)C2=NC=C(F)C=C2	(R)-5-fluoro-N-(2-hydroxy-1-phenylethyl)picolinamide		
		O=C(NC1C(O)CC2=C1C=CC=C2)C3=NC=CC=C3	"N-(2-hydroxy-2,3-dihydro-1H-inden-1-yl)picolinamide"		
		O=C(NC1C(O)CC2=C1C=CC=C2)C3=NC=CC=C3	"N-(2-hydroxy-2,3-dihydro-1H-inden-1-yl)picolinamide"		
		O=C(N[C@H](C1=CC=CC=C1)CO)C2=NC=C(C)C=C2	(R)-N-(2-hydroxy-1-phenylethyl)-5-methylpicolinamide		
		O=C(N[C@H](C1=CC=CC=C1)CO)C2=NC=CC=C2F	(R)-3-fluoro-N-(2-hydroxy-1-phenylethyl)picolinamide		
		O=C(N[C@@H](CO)C1=CC=CC=C1)C2=NC=CC(C)=C2	(R)-N-(2-hydroxy-1-phenylethyl)-4-methylpicolinamide		
		O=C(N[C@@H](C1=CC=CC=C1)COC[C@@H](C2=CC=CC=C2)NC(C3=NC=CC=C3)=O)C4=NC=CC=C4	Unname2		
		O=C(NC(C1=CC=CC2=C1C=CC=C2)CO)C3=NC=CC=C3	N-(2-hydroxy-1-(naphthalen-1-yl)ethyl)picolinamide		
		O=C(N[C@H](CN)C1=CC=CC=C1)C2=NC=CC=C2	(S)-N-(2-amino-1-phenylethyl)picolinamide		
		O=C(NC(C1=CC=C(F)C=C1)CO)C2=NC=CC=C2	N-(1-(4-fluorophenyl)-2-hydroxyethyl)picolinamide		
		O=C(NC(C1=CC=C(OC)C=C1)CO)C2=NC=CC=C2	N-(2-hydroxy-1-(4-methoxyphenyl)ethyl)picolinamide		
		O=C(NC(C1=CC(C(F)(F)F)=CC=C1)O)C2=NC=CC=C2	N-(hydroxy(3-(trifluoromethyl)phenyl)methyl)picolinamide		
		O=C(NC1C(O)C(C=CC=C2)=C2C1)C3=NC(C)=CC=C3	"N-(1-hydroxy-2,3-dihydro-1H-inden-2-yl)-6-methylpicolinamide"		
		O=C(N[C@@H](C1=CC=CC=C1)CO)C2=NC=CC(N3CCCC3)=C2	(S)-N-(2-hydroxy-1-phenylethyl)-4-(pyrrolidin-1-yl)picolinamide		
		O=C(NC(C1=CC(C=CC=C2)=C2C=C1)CO)C3=NC=CC=C3	N-(2-hydroxy-1-(naphthalen-2-yl)ethyl)picolinamide		
		O=C(NC(CO)C1=C(C=CC=C2)C2=CC3=C1C=CC=C3)C4=NC=CC=C4	N-(1-(anthracen-9-yl)-2-hydroxyethyl)picolinamide		
		O=C(N[C@@H](C1=CC=CC=C1)C(O)=O)C2=NC=CC=C2	(S)-2-phenyl-2-(picolinamido)acetic acid		
		O=C(N[C@@H](C1=CC=CC=C1)C(OC)=O)C2=NC=CC=C2	methyl (S)-2-phenyl-2-(picolinamido)acetate		
		O=C(N[C@@H](C1=CC=CC=C1)CO)C2=NC=C(C(F)(F)F)C=C2	(S)-N-(2-hydroxy-1-phenylethyl)-5-(trifluoromethyl)picolinamide		
		O=C(NCC(C1=C(C)C=CC=C1C)CO)C2=NC=CC=C2	"N-(2-(2,6-dimethylphenyl)-3-hydroxypropyl)picolinamide"		
		O=C(N1[C@H](C2=CC=CC=C2)C1)C3=NC=CC=C3	(R)-(2-phenylaziridin-1-yl)(pyridin-2-yl)methanone		
		O=C(NC(C1=C(C)C=CC=C1C)CO)C2=NC=CC=C2	"N-(1-(2,6-dimethylphenyl)-2-hydroxyethyl)picolinamide"		
		O=C(NCCO)C1=NC=CC=C1	N-(2-hydroxyethyl)picolinamide		
		O=C(NC(C1=CC(C)=CC=C1)CO)C2=NC=CC=C2	N-(2-hydroxy-1-(m-tolyl)ethyl)picolinamide		
		O=C(N[C@@H](C1=CC=CC=C1)CO)C2=NC=C(F)C=C2	(S)-5-fluoro-N-(2-hydroxy-1-phenylethyl)picolinamide		
		O=C(N[C@@H](C1=C(C2)C=CC=C1)[C@H]2O)C3=NC4=C(CCC4)C=C3	"N-((1S,2S)-2-hydroxy-2,3-dihydro-1H-inden-1-yl)-6,7-dihydro-5H-cyclopenta[b]pyridine-2-carboxamide"		
		O=C(N[C@@H](C1=CC=CC=C1)[C@@H](C2=CC=CC=C2)O)C3=NC4=C(CCC4)C=C3	"N-((1S,2R)-2-hydroxy-1,2-diphenylethyl)-6,7-dihydro-5H-cyclopenta[b]pyridine-2-carboxamide"		
		O=C(N[C@@H](C(C)C)CO)C1=NC2=C(CCC2)C=C1	"(S)-N-(1-hydroxy-3-methylbutan-2-yl)-6,7-dihydro-5H-cyclopenta[b]pyridine-2-carboxamide"		
		O=C(N[C@@H](C(C)C)CO)C1=NC2=C(CCC2)C=C1	"(S)-N-(1-hydroxy-3-methylbutan-2-yl)-6,7-dihydro-5H-cyclopenta[b]pyridine-2-carboxamide"		
		O=C(NC(C)CO)C1=NC2=C(CCC2)C=C1	"N-(1-hydroxypropan-2-yl)-6,7-dihydro-5H-cyclopenta[b]pyridine-2-carboxamide"		
		O=C(NC(C1=CC(C(F)(F)F)=CC=C1)CO)C2=NC3=C(CCC3)C=C2	"N-(2-hydroxy-1-(3-(trifluoromethyl)phenyl)ethyl)-6,7-dihydro-5H-cyclopenta[b]pyridine-2-carboxamide"		
		O=C(NC(C1=CC=CC=C1)CO)C2=NC3=C(C=CC=C3)C=C2	N-(2-hydroxy-1-phenylethyl)quinoline-2-carboxamide		
		O=C(N[C@@H](C1=CC=CC=C1)CO)C2=NC3=C(C=CC=C3)C=C2	(S)-N-(2-hydroxy-1-phenylethyl)quinoline-2-carboxamide		
		O=C(NC(CO)C1=CC=CC=C1)C2=C3C(C=CC=C3)=CC=N2	N-(2-hydroxy-1-phenylethyl)isoquinoline-1-carboxamide		
		CC([C@@H](CO1)N=C1C2=NC=CC=C2)(C)C	"(S)-4-(tert-butyl)-2-(pyridin-2-yl)-4,5-dihydrooxazole"		
		FC(C1=CN=C(C2=N[C@H](C3=CC=CC=C3)CO2)C=C1)(F)F	"(R)-4-phenyl-2-(5-(trifluoromethyl)pyridin-2-yl)-4,5-dihydrooxazole"		
		CC1=CC=CC(C2=N[C@@H](C3=CC=CC=C3C4)[C@@H]4O2)=N1	"(3aS,8aR)-2-(6-methylpyridin-2-yl)-3a,8a-dihydro-8H-indeno[1,2-d]oxazole"		
		CC1=CC=CC(C2=N[C@H](C(C)C)CO2)=N1	"(R)-4-isopropyl-2-(6-methylpyridin-2-yl)-4,5-dihydrooxazole"		
		CC1=CC=CC(C2=N[C@H](C(C)(C)C)CO2)=N1	"(R)-4-(tert-butyl)-2-(6-methylpyridin-2-yl)-4,5-dihydrooxazole"		
		CC(C)[C@H](CO1)N=C1C2=NC=C(C(F)(F)F)C=C2	"(R)-4-isopropyl-2-(5-(trifluoromethyl)pyridin-2-yl)-4,5-dihydrooxazole"		
		CC1=CC=CC(C2=N[C@H](C3=CC=CC=C3)[C@@H](C4=CC=CC=C4)O2)=N1	"(4R,5R)-2-(6-methylpyridin-2-yl)-4,5-diphenyl-4,5-dihydrooxazole"		
		C1(CCCC2)=C2N=C(C3=N[C@H](C4=CC=CC=C4)CO3)C=C1	"(R)-4-phenyl-2-(5,6,7,8-tetrahydroquinolin-2-yl)-4,5-dihydrooxazole"		
		CC(C)(C)[C@H](CO1)N=C1C2=NC3=C(CCC3)C=C2	"(R)-4-(tert-butyl)-2-(6,7-dihydro-5H-cyclopenta[b]pyridin-2-yl)-4,5-dihydrooxazole"		
